Compound_ID,Name,Other_name(Kegg_name),Formula,Molecular Weight,RT [min],Kegg_ID,KEGG_pathway,HMDB_ID,Lipidmaps_ID,SuperClass(HMDB),Class(HMDB),SubClass(HMDB),CATEGORY(Lipidmaps),MAIN_CLASS(Lipidmaps),SUB_CLASS(Lipidmaps),m/z
Com_4906_pos,Formononetin,Formononetin,C16 H12 O4,268.07389,6.244,C00858,map00943  Isoflavonoid biosynthesis;map01110  Biosynthesis of secondary metabolites,HMDB0005808,LMPK12050037,Phenylpropanoids and polyketides,Isoflavonoids,O-methylated isoflavonoids,Polyketides [PR],Flavonoids [PK12],Isoflavonoids [PK1205],269.0813
Com_5954_pos,Androstenedione,"Androstenedione; Androst-4-ene-3,17-dione; 4-Androstene-3,17-dione",C19 H26 O2,286.19339,6.545,C00280,map01100  Metabolic pathways,HMDB0000053,LMST02020007,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Sterols [ST],Steroids [ST02],C19 steroids (androgens) and derivatives [ST0202],287.2009
Com_6689_pos,Cytosine,Cytosine,C4 H5 N3 O,111.04358,1.42,C00380,map00240  Pyrimidine metabolism;map01100  Metabolic pathways,HMDB0000630,--,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,--,--,--,112.05082
Com_6784_pos,4-Phenylbutyric acid,--,C10 H12 O2,164.08416,5.894,--,--,HMDB0000543,--,Benzenoids,Benzene and substituted derivatives,,--,--,--,165.09146
Com_7255_pos,Carvone,(+)-(S)-Carvone; Carvol; (+)-Carvone; Carvone,C10 H14 O,150.1048,7.108,C11383,map00902  Monoterpenoid biosynthesis;map01110  Biosynthesis of secondary metabolites,HMDB0035824,--,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,--,--,--,151.11192
Com_7451_pos,Di(2-ethylhexyl) phthalate,--,C24 H38 O4,390.27781,10.511,--,--,--,--,--,--,--,--,--,--,391.2847
Com_8875_pos,Acetophenone,Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone,C8 H8 O,120.05795,6.394,C07113,--,HMDB0033910,--,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,--,--,--,121.06526
Com_9580_pos,Methyl indole-3-acetate,--,C11 H11 N O2,189.07933,5.028,--,--,HMDB0029738,--,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,--,--,--,190.08664
Com_10523_pos,Caffeine,"Caffeine; 1,3,7-Trimethylxanthine",C8 H10 N4 O2,194.08089,5.35,C07481,map00232  Caffeine metabolism;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites,HMDB0001847,--,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,--,--,--,195.08817
Com_11074_pos,7-Methylguanosine,--,C11 H15 N5 O5,297.10832,4.775,--,--,HMDB0005862,--,"Nucleosides, nucleotides, and analogues",Purine nucleosides,,--,--,--,298.1156
Com_12197_pos,Nobiletin,"Nobiletin; Hexamethoxyflavone; 5,6,7,8,3',4'-Hexamethoxyflavone",C21 H22 O8,402.1325,6.471,C10112,--,HMDB0029540,LMPK12111468,Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids,Polyketides [PR],Flavonoids [PK12],Flavones and Flavonols [PK1211],403.13956
Com_14159_pos,Propionylcarnitine,--,C10 H19 N O4,217.13173,3.214,--,--,HMDB0000824,LMFA07070105,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],218.13907
Com_14728_pos,"5,6-Dimethylbenzimidazole","Dimethylbenzimidazole; 5,6-Dimethylbenzimidazole",C9 H10 N2,146.08486,5.298,C03114,map00740  Riboflavin metabolism;map00860  Porphyrin and chlorophyll metabolism;map01100  Metabolic pathways,HMDB0003701,--,Organoheterocyclic compounds,Benzimidazoles,,--,--,--,147.09201
Com_17884_pos,"5,6-dimethyl-4-oxo-4H-pyran-2-carboxylic acid",--,C8 H8 O4,168.04274,5.416,--,--,--,--,--,--,--,--,--,--,169.05016
Com_18258_pos,2-Aminoadipic acid,--,C6 H11 N O4,161.06905,1.432,--,--,HMDB0000510,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,162.07642
Com_19855_pos,1-Methyladenosine,1-Methyladenosine,C11 H15 N5 O4,281.11278,4.658,C02494,--,HMDB0003331,--,"Nucleosides, nucleotides, and analogues",Purine nucleosides,,--,--,--,282.12024
Com_21048_pos,Salsolinol,"(-)-Salsolinol; 6,7-Isoquinolinediol, 1,2,3,4-tetrahydro-1-methyl-, (S)-; Salsolinol",C10 H13 N O2,179.0947,6.156,C09642,--,HMDB0042012,--,Organoheterocyclic compounds,Tetrahydroisoquinolines,,--,--,--,180.10204
Com_22256_pos,Panthenol,"Pantothenol; (R)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; Dexpanthenol; 2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; (+)-Panthenol; Bepanthen; Bepanthene; Bepantol; D-(+)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutyramide; Cozyme; D(+)-Panthenol; D(+)-Pantothenyl alcohol; D-P-A Injection; D-Panthenol; d-Pantothenol; d-Pantothenyl alcohol; Ilopan; Motilyn; Panadon; Panthenol; Panthoderm; Pantol; Pantothenyl alcohol; N-Pantoyl-propanolamine; Provitamin B; Synapan; Thenalton; Zentinic",C9 H19 N O4,205.13149,5.073,C05944,map00770  Pantothenate and CoA biosynthesis,HMDB0004231,--,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,--,--,--,206.13882
Com_22762_pos,Choline,Choline; Bilineurine,C5 H13 N O,103.10001,4.405,C00114,"map00260  Glycine, serine and threonine metabolism;map00564  Glycerophospholipid metabolism;map01100  Metabolic pathways;map02010  ABC transporters",HMDB0000097,--,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,--,--,--,104.10728
Com_114_pos,DL-Tryptophan,--,C11 H12 N2 O2,204.09016,5.179,--,--,HMDB0030396,--,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,--,--,--,205.09735
Com_140_pos,L-Phenylalanine,L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid,C9 H11 N O2,165.07907,4.95,C00079,"map00360  Phenylalanine metabolism;map00400  Phenylalanine, tyrosine and tryptophan biosynthesis;map00460  Cyanoamino acid metabolism;map00940  Phenylpropanoid biosynthesis;map00960  Tropane, piperidine and pyridine alkaloid biosynthesis;map00966  Glucosinolate biosynthesis;map00970  Aminoacyl-tRNA biosynthesis;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites;map01210  2-Oxocarboxylic acid metabolism;map01230  Biosynthesis of amino acids;map02010  ABC transporters",HMDB0000159,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,166.08621
Com_240_pos,Hypoxanthine,Hypoxanthine; Purine-6-ol,C5 H4 N4 O,136.03878,2.012,C00262,map00230  Purine metabolism;map01100  Metabolic pathways,HMDB0000157,--,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,--,--,--,137.04593
Com_282_pos,Adenosine,Adenosine,C10 H13 N5 O4,267.09729,3.045,C00212,map00230  Purine metabolism;map01100  Metabolic pathways,HMDB0000050,--,"Nucleosides, nucleotides, and analogues",Purine nucleosides,,--,--,--,268.10437
Com_283_pos,Guanine,Guanine; 2-Amino-6-hydroxypurine,C5 H5 N5 O,151.04963,1.675,C00242,map00230  Purine metabolism;map01100  Metabolic pathways,HMDB0000132,--,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,--,--,--,152.05687
Com_429_pos,Xanthine,Xanthine,C5 H4 N4 O2,152.0338,2.208,C00385,map00230  Purine metabolism;map00232  Caffeine metabolism;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites,HMDB0000292,--,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,--,--,--,153.04095
Com_793_pos,Methionine,Methionine; 2-Amino-4-(methylthio)butyric acid,C5 H11 N O2 S,149.05141,2.004,C01733,--,HMDB0033951,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,150.05859
Com_1005_pos,Rutin,"Rutin; 3-[[6-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4H-1-benzopyran-4-one; Quercetin 3-rutinoside; Rutoside; Phytomelin",C27 H30 O16,610.15431,5.487,C05625,map00944  Flavone and flavonol biosynthesis;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites,HMDB0003249,LMPK12112098,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Polyketides [PR],Flavonoids [PK12],Flavones and Flavonols [PK1211],611.16101
Com_1070_pos,Uracil,Uracil,C4 H4 N2 O2,112.02752,1.801,C00106,map00240  Pyrimidine metabolism;map00410  beta-Alanine metabolism;map00770  Pantothenate and CoA biosynthesis;map01100  Metabolic pathways,HMDB0000300,--,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,--,--,--,113.03474
Com_1445_pos,Pantothenic acid,Pantothenate; Pantothenic acid; (R)-Pantothenate,C9 H17 N O5,219.11107,5.067,C00864,map00410  beta-Alanine metabolism;map00770  Pantothenate and CoA biosynthesis;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites,HMDB0000210,--,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,--,--,--,220.1183
Com_1897_pos,L-Glutamic acid,L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate,C5 H9 N O4,147.05326,1.477,C00025,"map00220  Arginine biosynthesis;map00250  Alanine, aspartate and glutamate metabolism;map00330  Arginine and proline metabolism;map00332  Carbapenem biosynthesis;map00340  Histidine metabolism;map00430  Taurine and hypotaurine metabolism;map00480  Glutathione metabolism;map00630  Glyoxylate and dicarboxylate metabolism;map00650  Butanoate metabolism;map00660  C5-Branched dibasic acid metabolism;map00860  Porphyrin and chlorophyll metabolism;map00910  Nitrogen metabolism;map00970  Aminoacyl-tRNA biosynthesis;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites",HMDB0060475,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,148.06055
Com_2613_pos,L-Glutathione oxidized,--,C20 H32 N6 O12 S2,612.15201,2.123,--,--,--,--,--,--,--,--,--,--,613.15997
Com_2728_pos,Thymine,Thymine; 5-Methyluracil,C5 H6 N2 O2,126.04343,4.891,C00178,map00240  Pyrimidine metabolism;map01100  Metabolic pathways,HMDB0000262,--,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,--,--,--,127.05079
Com_2871_pos,N6-Acetyl-L-lysine,N6-Acetyl-L-lysine,C8 H16 N2 O3,188.11619,1.726,C02727,map00310  Lysine degradation,HMDB0000206,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,189.1234
Com_2909_pos,Glycyl-L-leucine,Glycyl-leucine; Glycyl-L-leucine,C8 H16 N2 O3,188.11656,5.106,C02155,--,HMDB0028929,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,189.12399
Com_4361_pos,L-Aspartyl-L-phenylalanine,--,C13 H16 N2 O5,280.10639,5.221,--,--,--,--,--,--,--,--,--,--,281.11383
Com_4718_pos,Indole-3-lactic acid,--,C11 H11 N O3,205.0744,5.575,--,--,HMDB0000671,--,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,--,--,--,206.08179
Com_5901_pos,4-Methoxycinnamic acid,--,C10 H10 O3,178.0636,6.026,--,--,HMDB0002040,--,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamic acids,--,--,--,179.07074
Com_5926_pos,2'-O-Methylguanosine,--,C11 H15 N5 O5,297.10784,4.853,--,--,--,--,--,--,--,--,--,--,298.1156
Com_6227_pos,"4-oxo-4,5,6,7-tetrahydrobenzo[b]furan-3-carboxylic acid",--,C9 H8 O4,180.04263,5.895,--,--,--,--,--,--,--,--,--,--,181.05023
Com_7553_pos,Glycerophospho-N-palmitoyl ethanolamine,--,C21 H44 N O7 P,453.28619,9.295,--,--,--,--,--,--,--,--,--,--,454.29373
Com_11467_pos,5'-S-Methyl-5'-thioadenosine,--,C11 H15 N5 O3 S,297.0901,5.145,--,--,HMDB0001173,--,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides,--,--,--,298.09708
Com_15792_pos,N-Acetyl-DL-glutamic acid,--,C7 H11 N O5,189.06383,2.301,--,--,--,--,--,--,--,--,--,--,190.07106
Com_18145_pos,Kynurenic acid,4-Hydroxy-2-quinolinecarboxylic acid; Kynurenic acid; Kynurenate,C10 H7 N O3,189.04272,5.645,C01717,map00380  Tryptophan metabolism;map01100  Metabolic pathways,HMDB0000715,--,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids,--,--,--,190.05031
Com_2_pos,Tomatidine,Tomatidine,C27 H45 N O2,199.15917,5.912,C10826,--,HMDB0034731,LMST01150003,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal alkaloids,Sterols [ST],Sterols [ST01],Solanidines and alkaloid derivatives [ST0115],416.35211
Com_3_pos,Oleamide,Oleamide; Oleyl amide; (Z)-9-Octadecenamide,C18 H35 N O,281.27194,9.8,C19670,--,HMDB0002117,LMFA08010004,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty Acyls [FA],Fatty amides [FA08],Primary amides [FA0801],282.27942
Com_14_pos,octadec-9-ynoic acid,--,C18 H32 O2,262.22971,9.299,--,--,--,--,--,--,--,--,--,--,263.23697
Com_49_pos,Veratramine,Veratramine,C27 H39 N O2,409.29895,5.732,C10829,--,--,--,--,--,--,--,--,--,410.30597
Com_55_pos,Jervine,Jervine,C27 H39 N O3,425.29344,5.555,C10811,--,--,--,--,--,--,--,--,--,426.30051
Com_56_pos,Tropine,Tropine; 3alpha-Tropanol,C8 H15 N O,141.11554,1.551,C00729,"map00960  Tropane, piperidine and pyridine alkaloid biosynthesis;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites",--,--,--,--,--,--,--,--,142.12279
Com_61_pos,Hexadecanamide,--,C16 H33 N O,255.25638,9.578,--,--,HMDB0012273,LMFA08010009,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty Acyls [FA],Fatty amides [FA08],Primary amides [FA0801],256.2634
Com_69_pos,3-(dimethylamino)-1-phenylprop-2-en-1-one,--,C11 H13 N O,175.10004,5.087,--,--,--,--,--,--,--,--,--,--,176.10724
Com_72_pos,Cyclosporin H,--,C62 H111 N11 O12,1201.84354,8.71,--,--,--,--,--,--,--,--,--,--,1202.8512
Com_84_pos,9-Oxo-ODE,--,C18 H30 O3,294.21979,6.366,--,--,HMDB0004669,--,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,--,--,--,295.2269
Com_85_pos,"6,15-diketo-13,14-dihydro Prostaglandin F1 alpha",--,C20 H34 O6,352.22297,6.572,--,--,--,--,--,--,--,--,--,--,353.22968
Com_86_pos,DL-Stachydrine,--,C7 H13 N O2,143.09476,1.448,--,--,--,--,--,--,--,--,--,--,144.10185
Com_103_pos,Guanethidine Monosulfate,--,C10 H24 N4 O4 S,296.15266,6.847,--,--,HMDB0015301,--,Organic nitrogen compounds,Organonitrogen compounds,Guanidines,--,--,--,297.15955
Com_147_pos,Oleoyl ethylamide,--,C20 H39 N O,309.30349,10.612,--,--,--,--,--,--,--,--,--,--,310.31073
Com_197_pos,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",--,C18 H34 O5,352.21592,6.85,--,--,--,--,--,--,--,--,--,--,353.22354
Com_205_pos,11-Epiprostaglandin E1,--,C20 H34 O5,336.22793,8.044,--,--,--,--,--,--,--,--,--,--,337.23495
Com_235_pos,2-Phenylethylamine,Phenethylamine; 2-Phenylethylamine; beta-Phenylethylamine; Phenylethylamine,C8 H11 N,121.08966,5.048,C05332,map00360  Phenylalanine metabolism,HMDB0012275,--,Benzenoids,Benzene and substituted derivatives,Phenethylamines,--,--,--,122.09698
Com_236_pos,Styrene,Styrene; Phenylethylene,C8 H8,104.06291,5.05,C07083,map01100  Metabolic pathways,HMDB0034240,--,Benzenoids,Benzene and substituted derivatives,Styrenes,--,--,--,105.07001
Com_245_pos,Isophorone,"Isophorone; 1,1,3-Trimethyl-3-cyclohexene-5-one",C9 H14 O,138.10464,6.36,C14743,--,HMDB0031195,--,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,--,--,--,139.11221
Com_251_pos,(-)-Caryophyllene oxide,--,C15 H24 O,220.18294,7.362,--,--,--,--,--,--,--,--,--,--,221.19014
Com_275_pos,D-threo-Isocitric acid,"(1R,2S)-1-Hydroxypropane-1,2,3-tricarboxylate; D-threo-Isocitric acid",C6 H8 O7,192.02708,2.173,C00451,--,HMDB0001874,--,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,--,--,--,193.03383
Com_302_pos,6-Methylquinoline,--,C10 H9 N,143.07386,5.165,--,--,HMDB0033115,--,Organoheterocyclic compounds,Quinolines and derivatives,,--,--,--,144.08092
Com_343_pos,SPH,--,C14 H21 N5 O5,339.15085,5.403,--,--,HMDB0000252,--,Organic nitrogen compounds,Organonitrogen compounds,Amines,--,--,--,340.15799
Com_385_pos,Avocadyne 1-acetate,--,C19 H34 O4,308.23548,7.109,--,--,HMDB0031048,LMFA05000644,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Fatty Acyls [FA],Fatty alcohols [FA05],_,309.24283
Com_387_pos,Valine,Valine,C5 H11 N O2,117.07932,1.859,C16436,--,HMDB0000883,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,118.0866
Com_487_pos,Apocynin,Apocynin; Acetovanillone,C9 H10 O3,166.06324,5.596,C11380,--,--,--,--,--,--,--,--,--,167.07051
Com_510_pos,"1,4-dihydroxy-1,4-dimethyl-7-(propan-2-ylidene)-decahydroazulen-6-one",--,C15 H24 O3,234.16214,6.298,--,--,--,--,--,--,--,--,--,--,235.16946
Com_526_pos,Nootkatone,Nootkatone,C15 H22 O,218.16731,7.352,C17914,--,--,--,--,--,--,--,--,--,219.17453
Com_635_pos,Methyl dihydrojasmonate,--,C13 H22 O3,226.157,7.121,--,--,HMDB0031740,--,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,--,--,--,227.16435
Com_646_pos,Stearamide,Octadecanamide; Stearamide; Stearic acid amide,C18 H37 N O,283.288,10.424,C13846,--,HMDB0034146,LMFA08010003,Organic acids and derivatives,Carboximidic acids and derivatives,Carboximidic acids,Fatty Acyls [FA],Fatty amides [FA08],Primary amides [FA0801],284.29498
Com_661_pos,Uracil 1-beta-D-arabinofuranoside,--,C9 H12 N2 O6,244.06992,2.293,--,--,--,--,--,--,--,--,--,--,245.07689
Com_687_pos,tert-Butyl N-[1-(aminocarbonyl)-3-methylbutyl]carbamate,--,C11 H22 N2 O3,230.16337,5.184,--,--,--,--,--,--,--,--,--,--,231.17076
Com_717_pos,(+/-)5(6)-DiHET,--,C20 H34 O4,355.27264,6.925,--,--,--,--,--,--,--,--,--,--,356.28027
